,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-003,q_chatgpt
0,1173,Bacterial lung infections are increasing because of face masks,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,b,b,a,a
1,2075,Fenugreek Seed Tape Can Cure Throat Infection During COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,a,b,a,a,a,b
2,1,"Climate crisis: Remote glaciers in China melting at 'shocking' pace, risking water shortages",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,a,b,b,b
3,19,How The COVID Relief Bill Turned Into A Climate Change Bill,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,a,a,b
4,1873,The senate of Berlin admitted that PCR tests are a scam and can't detect infections,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
5,392,Rusting oil tanker could create one of the worst environmental disasters in history,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,a,b,a,b
6,465,John Kerry's Think Tank Calls for War With Russia Over Climate Change,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
7,482,Joe Biden unlikely to cancel Trump's Space Force but could use NASA to help in climate crisis fight,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,a,b
8,1511,Bogot has more ICU beds than Peru and Chile.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,b
9,2009,"CoronaVac, a chinese vaccine candidate being tested in Brazil, causes 10 types of cancer and suicidal thoughts",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
10,343,Trump says Paris climate agreement 'was designed to kill US economy',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
11,1847,"The total number of deaths in the U.S. this year is significantly down compared to previous years, so COVID-19 restrictions weren't needed.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,a,a,b,b,a,a,a
12,1808,Event 201 held by The Johns Hopkins Center for Health Security in 2019 was a scenario plotted about the coronavirus pandemic,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,b,b,a,a,b,b
13,1843,"Media outlets reports that the World Health Organization has stated that wearing a mask while playing sports ""decreases the availability of oxygen"" or ""increases the levels of carbon dioxide we absorb.""",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
14,131,Sudden reversal of Australia's climate change policy ,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,a,a,b
15,1957,Quarantine measures are a manifestation of Marxism and fascism in the modern world.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
16,1171,CoronaVac vaccine killed a volunteer from clinical tests,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,a,a,a,b
17,2112,Doctors prove why the pandemic is fascism and the extermination of humanity.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
18,1871,Sars cov 2 mutations make the vaccine useless,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
