,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,6057,"premise: And don't expect to not see me for a long while.

hypothesis: And don't expect to lay eyes on me for a long while.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,a,a,a,c,a,b,a,a,b
1,7132,"premise: We 'll just wait patiently and wait for a state trooper to come pick us up.

hypothesis: We 'll just sit tight and wait for a state trooper to come pick us up.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,d,b,d,a,a,c,a,b,a,a,b
2,2131,"premise: The place is secluded, away from the frequently traveled routes and not well-known, very peaceful.

hypothesis: The place is off the beaten track, very peaceful.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,c,b,b,b,a,a,a,d,a,b,b,a,b
3,6085,"premise: You're not welcome, I said.

hypothesis: Be my guest, I said.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,d,c,c,c,a,c,a,b,c,a,a
4,4269,"premise: Kyle's latest throw was far from accurate.

hypothesis: Kyle's latest throw was off the mark.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,c,b,b,d,a,a,c,a,b,b,a,b
5,3031,"premise: If I could just engage in the situation for a couple of hours without trying to change it or assert control over it, I may just have a decent enough time to get through it.

hypothesis: If I could just go with the flow for a couple of hours, I may just have a decent enough time to get through it.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,a,a,a,d,a,a,a,a,b
6,1525,"premise: But with the chance that money or assets were about to forever remain where they are, forrest would be there looking for crumbs and leftovers.

hypothesis: But with the chance that money or assets were about to change hands, forrest would be there looking for crumbs and leftovers.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,d,a,a,c,a,b,b,b,a
7,4013,"premise: The end of his nose was extremely bulbous.

hypothesis: The end of his nose was bulbous to the nth degree.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,a,b,b,b,d,d,a,c,a,b,b,d,b
8,2647,"premise: I just wanted to be very successful and garner a lot of public attention.

hypothesis: I just wanted to make a splash.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,b,b,b,a,a,a,c,a,b,b,a,b
9,2866,"premise: I'm having one first attempt at something before I head back to penn state.

hypothesis: I'm having one last hurrah before I head back to penn state.",Idiom,"

Which of the following best describes the type of figurative language used in the hypothesis?
A: Idiom
B: Metaphor
C: Sarcasm
D: Simile

Constraint: Answer with only the option above that is most accurate and nothing else.
",a,b,c,d,c,a,a,a,c,a,b,a,a,b
